
2024/08/02 (02:19:14) | ===> btop++ v.1.3.2
2024/08/02 (02:19:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/02 (02:19:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/02 (03:07:01) | ===> btop++ v.1.3.2
2024/08/02 (03:07:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/02 (03:07:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/03 (18:32:06) | ===> btop++ v.1.3.2
2024/08/03 (18:32:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/03 (18:32:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/03 (18:38:24) | ===> btop++ v.1.3.2
2024/08/03 (18:38:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/03 (18:38:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/03 (19:09:38) | ===> btop++ v.1.3.2
2024/08/03 (19:09:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/03 (19:09:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/03 (19:10:03) | ===> btop++ v.1.3.2
2024/08/03 (19:10:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/03 (19:10:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/03 (19:11:20) | ===> btop++ v.1.3.2
2024/08/03 (19:11:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/03 (19:11:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/03 (20:27:53) | ===> btop++ v.1.3.2
2024/08/03 (20:27:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/03 (20:27:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/04 (17:05:41) | ===> btop++ v.1.3.2
2024/08/04 (17:05:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/04 (17:05:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/04 (18:07:42) | ===> btop++ v.1.3.2
2024/08/04 (18:07:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/04 (18:07:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/04 (23:36:09) | ===> btop++ v.1.3.2
2024/08/04 (23:36:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
